municipio_ibge,SE 01,SE 02,SE 03,SE 04,SE 05,SE 06,SE 07,SE 08,SE 09,SE 10,SE 11,SE 12,SE 13,SE 14,SE 15,SE 16,SE 17,SE 18,SE 19,SE 20,SE 21,SE 22
3538501,0,1,2,5,10,11,44,92,126,137,143,143,146,151,163,168,180,188,201,213,225,230
3538600,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
3538709,10,34,48,80,120,179,250,308,377,450,501,538,592,653,712,761,810,862,902,930,951,963
3538808,0,0,0,0,0,0,0,1,1,3,3,3,4,4,4,5,5,5,5,5,5,5
3538907,0,0,0,0,2,2,2,3,4,4,5,5,5,6,6,6,7,7,7,7,7,7
3539004,0,3,5,8,11,14,16,17,22,29,42,48,61,68,79,84,93,94,94,94,95,95
3539103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3539202,0,1,5,9,14,31,62,83,122,159,190,231,297,369,446,511,556,600,631,662,669,681
3539301,12,28,56,94,138,182,257,316,376,434,475,504,538,583,616,634,659,679,701,719,727,727
3539400,0,0,1,1,1,1,2,2,3,4,4,4,5,5,5,5,5,5,5,5,5,5
3539509,0,0,0,0,5,8,10,16,19,19,22,28,36,37,37,41,46,52,58,61,64,65
3539608,0,0,0,0,0,0,0,1,2,4,6,11,14,16,18,20,23,26,29,29,30,30
3539707,0,0,0,0,0,2,2,3,4,4,6,9,12,12,12,14,15,15,15,15,15,15
3539806,1,2,2,2,2,3,4,4,6,6,6,6,6,7,7,7,7,7,7,7,7,7
3539905,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3540002,1,6,13,20,31,46,57,66,68,72,78,86,94,96,102,104,106,108,111,114,115,115
3540101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,6,6
3540200,0,0,8,13,19,22,22,25,33,42,52,66,79,86,99,110,118,126,133,138,143,144
3540259,37,58,87,117,138,152,168,175,178,178,178,178,178,179,179,179,179,180,180,180,180,180
3540309,2,3,5,10,13,17,22,23,28,29,33,33,35,36,36,36,36,36,37,37,39,39
3540408,3,9,12,16,36,49,57,61,73,78,79,80,81,81,81,81,81,81,81,81,81,81
3540507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3540606,0,0,0,0,0,0,0,2,3,3,3,3,4,5,8,9,16,20,24,26,28,28
3540705,4,7,8,9,14,19,22,24,35,39,43,44,50,54,61,69,79,86,92,95,99,100
3540754,488,935,1216,1479,1626,1721,1817,1895,1922,1955,1995,2023,2040,2051,2054,2055,2057,2059,2064,2068,2072,2075
3540804,1,1,1,1,1,1,2,4,7,8,11,12,17,19,24,28,29,29,32,33,34,34
3540853,0,1,3,4,6,9,13,14,17,20,22,29,38,42,44,44,44,44,44,44,44,44
3540903,5,6,6,7,8,10,12,13,17,21,22,25,28,28,30,33,34,38,40,41,41,41
3541000,0,1,1,1,2,4,4,4,5,6,7,7,8,10,10,10,10,10,11,11,12,12
3541059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541109,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3541208,3,7,13,20,32,56,88,122,162,201,225,249,271,302,319,350,373,394,409,416,417,418
3541307,64,190,351,490,612,735,823,860,887,914,922,925,928,928,929,930,930,931,932,932,932,932
3541406,16,42,87,146,247,394,537,725,1013,1453,1827,2154,2492,2845,3127,3388,3614,3835,4017,4157,4227,4249
3541505,18,53,114,169,222,279,323,345,374,392,407,419,429,442,450,461,472,476,481,486,489,489
3541604,0,0,0,1,2,7,9,12,13,15,18,22,27,29,34,35,37,39,41,42,44,45
3541653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541703,4,11,34,54,75,111,158,198,247,278,300,309,321,344,369,394,413,421,431,433,435,435
3541802,2,15,31,49,65,89,115,130,137,142,144,147,149,150,150,151,152,152,152,152,152,152
3541901,0,0,0,0,0,3,4,5,7,13,15,21,26,30,35,41,45,50,51,53,57,57
3542008,0,0,0,1,1,2,4,5,5,9,9,12,17,18,20,24,26,28,32,34,35,35
3542107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3542206,77,218,349,483,622,871,1034,1193,1302,1388,1480,1542,1600,1650,1699,1750,1793,1831,1848,1864,1868,1868
3542305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3542404,1,1,2,4,6,13,18,20,40,67,89,115,137,167,217,242,263,289,327,356,369,387
3542503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3542602,5,13,25,46,66,90,130,182,235,291,327,366,410,448,476,492,511,531,539,549,560,560
3542701,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3542800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3542909,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3543006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3543105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3543204,0,0,0,0,1,1,2,2,2,2,6,7,8,15,22,34,40,54,61,63,64,64
3543238,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4
3543253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3543303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3543402,219,586,1207,2069,3216,4771,6416,8025,9536,11134,12572,13524,14120,14628,15068,15431,15679,15889,16052,16163,16216,16245
3543501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3543600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3543709,0,0,0,0,0,2,7,8,8,10,10,12,12,12,12,13,13,13,13,13,13,13
3543808,73,185,336,440,514,590,640,674,694,702,703,708,709,710,710,710,710,710,710,710,710,710
3543907,4,26,43,68,86,116,154,184,229,271,317,369,428,496,588,670,747,814,858,884,904,917
3544004,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,4,4,5,5,5,7,7
3544103,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
3544202,0,0,1,2,4,7,8,11,11,12,16,17,18,19,20,21,22,23,23,25,25,26
3544251,2,4,15,25,34,66,111,137,188,249,309,360,421,476,524,589,629,675,702,719,731,731
3544301,2,4,8,17,21,30,40,51,64,69,76,78,79,80,83,83,88,89,90,90,90,91
3544400,5,11,12,15,15,19,22,25,26,32,36,39,44,50,52,56,61,64,73,83,90,96
3544509,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,4,5,5,6,6,6,6
3544608,1,7,13,33,49,96,136,163,197,214,229,234,242,247,253,258,261,262,262,264,264,264
3544707,0,11,33,65,97,160,215,253,295,311,312,312,312,312,312,312,312,312,312,312,312,312
3544806,0,0,0,2,2,3,4,5,5,6,7,9,10,12,12,13,13,13,14,14,14,14
3544905,0,0,0,0,1,2,2,2,2,2,3,3,3,3,3,6,7,7,7,8,8,8
3545001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3545100,4,11,22,51,85,125,156,184,208,211,219,223,243,252,262,266,269,269,270,270,270,270
3545159,0,0,2,3,3,4,5,5,7,7,8,8,8,9,9,9,9,9,9,9,10,10
3545209,0,0,0,2,3,3,4,8,10,15,18,20,28,35,41,44,49,53,56,60,61,61
3545308,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3545407,0,0,0,0,1,3,3,4,4,4,7,13,22,37,56,78,92,100,113,128,130,130
3545506,0,1,2,5,9,15,22,33,42,59,74,95,122,144,168,187,204,217,222,223,224,224
3545605,1,2,6,13,21,38,51,60,79,96,106,112,126,132,146,157,168,180,184,191,192,193
3545704,0,0,0,2,4,9,14,15,16,20,24,24,26,26,26,28,28,30,30,30,30,30
3545803,11,28,44,68,92,116,152,190,222,301,377,436,495,554,616,678,731,784,826,855,874,895
3546009,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3546108,1,1,1,1,1,1,1,1,2,2,2,3,7,9,12,20,27,32,41,46,49,52
3546207,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,5,6,7,7,7,7
3546256,0,0,0,0,0,2,4,5,5,5,5,5,5,7,9,10,11,12,12,14,14,14
3546306,6,7,18,51,73,109,171,234,298,372,454,507,611,719,787,858,913,956,983,987,995,995
3546405,1,1,1,1,1,2,4,4,4,8,11,11,13,14,16,16,17,17,17,20,22,22
3546504,2,6,12,20,33,50,76,85,97,106,111,112,114,117,119,122,124,126,127,127,127,127
3546603,1,2,3,5,6,7,8,10,14,19,23,28,31,36,42,45,49,53,58,60,61,61
3546702,0,0,0,0,0,0,0,0,1,1,6,7,7,7,8,13,16,21,24,24,24,25
3546801,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
3546900,0,0,1,1,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3547007,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3547106,0,0,0,1,1,4,5,6,7,8,8,10,10,10,11,11,14,15,17,19,19,19
3547205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3547304,0,1,2,2,3,4,5,6,8,10,12,12,12,12,13,14,16,18,19,19,19,19
3547403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3547502,2,6,13,22,36,56,81,105,136,164,180,206,234,258,296,333,363,388,409,426,437,444
3547601,0,2,7,11,15,20,30,42,58,67,76,92,113,155,189,222,244,247,255,255,255,256
3547650,0,0,2,2,3,4,4,5,5,5,5,6,6,7,7,7,7,7,7,7,8,8
3547700,0,1,2,3,8,21,49,72,103,131,168,192,233,266,296,319,339,353,363,367,373,375
3547809,0,0,0,2,2,2,3,4,4,6,6,6,6,9,9,9,9,9,9,9,9,9
3547908,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,4,5,5,5,5
3548005,0,3,4,4,5,7,7,7,7,10,13,14,14,15,15,16,17,17,17,17,17,17
3548054,0,0,6,13,13,14,19,22,24,28,32,35,36,37,39,44,49,54,58,62,66,70
3548104,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
3548203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3548302,0,1,1,1,1,1,2,5,10,22,33,47,66,68,71,72,75,80,81,81,81,81
3548401,0,0,1,4,4,9,11,14,22,32,35,35,35,35,35,35,35,35,35,35,35,35
3548500,2,4,5,7,11,18,23,30,35,42,47,50,50,52,57,62,66,69,71,71,72,72
3548609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3548708,0,0,0,0,1,2,6,7,9,11,13,13,13,13,14,16,16,16,16,16,16,16
3548807,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3548906,3,18,56,99,151,197,256,284,321,358,389,400,416,422,434,445,449,451,453,457,457,457
3549003,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,5,5,5,10,14,17,19
3549102,12,42,82,136,203,285,412,531,630,739,822,877,932,957,970,975,986,988,988,988,988,988
3549201,4,5,7,12,20,31,44,52,59,63,72,74,76,76,76,76,76,76,76,76,76,76
3549250,0,2,6,9,16,26,39,53,63,67,69,72,72,72,74,74,75,75,75,75,75,75
3549300,0,0,0,0,1,4,7,10,14,24,31,45,61,70,88,96,105,113,123,128,136,140
3549409,1,1,4,7,14,19,31,41,48,51,56,57,57,57,57,57,58,59,60,60,60,61
3549508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3549607,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,5,5,5,5,5
3549706,3,6,9,17,23,28,30,34,37,47,60,81,105,130,162,198,221,236,274,293,303,316
3549805,92,206,384,611,940,1315,1725,2129,2529,2929,3293,3485,3655,3757,3829,3917,3966,4042,4123,4174,4193,4196
3549904,1,2,9,13,19,27,35,45,60,83,105,123,142,171,196,220,244,264,283,294,297,297
3549953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3550001,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
3550100,0,1,1,2,6,7,9,11,11,12,15,15,15,16,18,18,20,20,20,20,20,21
3550209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3550308,55,127,181,244,341,445,581,702,812,939,1046,1106,1201,1267,1351,1412,1478,1529,1571,1607,1620,1632
3550407,9,26,40,73,105,153,247,303,392,491,579,634,704,737,782,813,837,855,867,872,874,876
3550506,0,0,0,0,0,0,0,1,1,3,8,13,19,26,29,30,31,35,36,37,37,37
3550605,0,0,0,0,1,1,1,1,1,1,2,2,2,2,4,4,6,10,10,10,10,10
3550704,6,7,10,17,23,31,45,51,52,65,71,80,83,91,96,110,114,128,142,151,166,176
3550803,0,0,0,0,0,0,0,0,0,0,0,0,4,11,14,16,17,17,18,20,22,22
3550902,15,35,51,78,114,127,128,128,132,136,136,137,138,139,141,145,145,145,145,145,145,145
3551009,0,0,6,6,13,19,25,28,30,36,39,44,49,54,54,56,58,58,60,60,60,60
3551108,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
3551207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3551306,2,2,3,9,20,26,36,39,48,56,65,67,70,73,73,75,75,76,76,77,77,77
3551405,0,0,1,1,1,2,2,3,5,7,11,13,14,14,14,14,14,15,15,16,16,16
3551504,0,0,1,2,3,5,10,12,14,16,17,18,23,26,29,32,35,36,37,38,38,38
3551603,1,1,1,2,2,2,2,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5
3551702,80,175,299,515,759,1012,1236,1429,1609,1753,1844,1894,1952,2006,2059,2111,2160,2187,2210,2236,2241,2243
3551801,15,70,209,260,290,304,318,322,324,329,330,330,330,330,330,330,330,330,332,332,332,332
3551900,0,0,0,0,5,6,6,7,9,12,15,18,20,21,22,23,26,26,27,30,30,30
3552007,0,0,0,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4
3552106,0,1,1,1,2,2,2,2,4,5,11,13,14,15,17,17,18,18,19,19,19,19
3552205,4,14,40,91,143,211,345,467,586,712,861,951,1064,1170,1267,1380,1453,1519,1587,1638,1667,1677
3552304,0,0,0,1,6,10,15,15,20,23,31,38,43,49,53,64,72,77,81,90,91,94
3552403,12,25,49,69,95,122,151,182,237,285,310,329,367,396,434,462,488,516,544,564,575,578
3552502,4,5,6,8,8,8,11,12,15,21,21,23,23,24,24,24,24,24,24,24,24,24
3552551,0,0,0,0,0,0,2,2,4,6,6,7,8,9,10,10,11,13,15,15,15,16
3552601,1,2,7,17,30,52,66,74,92,101,117,126,140,155,166,173,188,195,202,206,209,211
3552700,0,0,0,0,0,0,4,4,4,4,9,9,10,10,10,10,10,10,10,10,10,10
3552809,0,1,1,2,3,3,3,3,3,3,3,3,3,5,6,6,6,7,7,7,7,7
3552908,0,0,0,0,0,0,0,1,2,3,4,4,5,7,11,11,11,14,16,17,17,17
3553005,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,5,6,6,6,6
3553104,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
3553203,0,0,0,0,1,1,2,4,8,10,13,19,23,28,31,34,34,39,39,39,39,39
3553302,0,1,5,15,25,40,57,69,93,129,158,195,244,289,340,390,437,466,491,502,506,513
3553401,2,4,9,14,28,46,78,105,142,172,203,219,245,288,308,340,365,400,429,444,450,452
3553500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3553609,0,0,0,0,7,23,34,47,64,88,101,116,140,158,178,215,250,264,274,275,277,278
3553658,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,4,5,5,5
3553708,3,13,29,60,93,119,152,169,190,198,200,203,213,225,233,243,256,267,274,284,287,292
3553807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3553856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3553906,0,0,0,0,3,21,34,58,91,114,138,157,181,208,221,233,247,260,270,276,278,279
3553955,0,0,0,1,2,7,11,15,22,32,37,49,65,83,95,103,106,110,117,122,122,124
3554003,0,0,0,1,2,2,3,3,6,8,10,10,15,21,36,59,75,107,142,157,177,190
3554102,7,13,34,68,109,175,290,392,518,681,810,918,1051,1168,1284,1432,1529,1628,1700,1757,1783,1813
3554201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3554300,2,5,10,25,43,76,99,133,164,216,247,263,281,300,311,320,328,334,337,337,342,342
3554409,0,0,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3554508,0,0,0,0,0,0,0,0,1,5,6,6,6,6,6,6,6,6,6,6,6,6
3554607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3554656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3554706,0,0,1,1,1,1,1,1,2,3,3,3,3,4,4,4,4,4,4,4,4,4
3554755,5,7,12,18,32,45,66,77,80,81,82,83,83,83,83,83,83,83,83,83,83,83
3554805,1,1,1,1,2,2,4,10,19,27,43,57,68,77,92,113,122,136,139,149,154,155
3554904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3554953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3555000,5,16,29,45,62,101,149,188,232,289,327,373,410,435,458,492,520,547,569,578,587,593
3555109,1,3,17,40,72,112,166,201,253,311,366,421,500,574,620,667,685,708,723,743,756,761
3555208,0,0,1,1,2,2,2,2,2,3,3,4,9,15,23,35,42,62,90,103,104,105
3555307,1,2,6,14,18,29,33,35,35,36,36,36,37,37,37,37,37,37,37,37,37,37
3555356,0,0,1,5,7,9,13,15,27,34,43,53,56,60,68,92,106,115,118,120,120,120
3555406,1,3,4,6,7,11,19,23,34,44,59,60,65,83,93,100,114,130,137,139,139,139
3555505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3555604,0,1,3,3,3,4,9,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12
3555703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3555802,24,50,76,117,170,244,312,355,423,470,496,534,549,565,570,576,593,602,611,611,611,611
3555901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3556008,2,9,24,42,54,76,88,93,103,110,113,114,115,121,122,122,122,122,122,122,122,122
3556107,2,8,23,43,75,132,157,172,175,177,181,185,187,190,194,201,206,208,209,209,209,209
3556206,0,2,2,4,5,6,9,11,13,18,24,29,30,30,32,36,36,36,36,43,47,47
3556305,11,23,59,159,271,429,631,765,852,914,967,1030,1067,1100,1126,1156,1173,1204,1227,1237,1239,1239
3556354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3556404,1,2,4,5,5,6,12,15,22,32,34,39,55,62,81,105,120,135,150,166,173,180
3556453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3556503,0,0,0,0,2,2,5,5,6,7,10,10,10,10,11,12,13,13,13,13,14,14
3556602,0,0,0,0,0,3,5,12,21,32,45,49,60,83,102,118,140,164,183,204,216,222
3556701,1,1,2,4,5,5,6,10,10,11,15,16,16,16,17,19,19,19,20,20,20,20
3556800,0,0,0,0,0,1,6,8,11,13,15,16,17,17,17,18,19,19,19,19,19,19
3556909,0,0,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,6,7,7,10
3556958,3,8,12,17,30,65,96,103,110,117,125,125,127,129,129,129,129,129,129,129,129,129
3557006,0,0,2,6,7,9,17,22,28,40,56,67,90,94,100,110,120,129,138,142,148,148
3557105,341,821,1555,2479,3383,4569,5680,6436,7124,7641,8049,8227,8375,8474,8543,8614,8675,8732,8764,8786,8808,8819
3557154,0,0,0,0,0,0,1,1,1,3,3,3,4,4,4,4,4,5,5,8,9,9
3557204,0,0,0,0,0,0,0,1,1,1,1,1,4,5,7,7,8,8,8,8,8,8
3557303,0,0,0,0,0,1,1,1,2,2,2,2,3,4,6,7,8,8,8,9,9,9
